content,label,title,author,s_area_id
用了一段時間，感覺還不錯，可以,positive,,,
電視非常好，已經是家裡的第二台了。第一天下單，第二天就到本地了，可是物流的人說車壞了，一直催，客服也幫著催，到第三天下午5點才送過來。父母年紀大了，買個大電視畫面清晰，趁著耳朵還好使，享受幾年。,positive,,,
電視比想像中的大好多，畫面也很清晰，系統很智慧，更多功能還在摸索中,positive,,,
不錯,positive,,,
用了這麼多天了，感覺還不錯。夏普的牌子還是比較可靠。希望以後比較耐用，現在是考量品質的時候。,positive,,,
物流速度很快，非常棒，今天就看了電視，非常清晰，非常流暢，一次非常完美的購物體驗,positive,,,
非常好，客服還特意打電話做回訪,positive,,,
物流小哥不錯，辛苦了，東西還沒用,positive,,,
送貨速度快，品質有保障，活動價格挺好的。希望用的久，不出問題。,positive,,,
非常漂亮，也非常清晰，反應速度也快。,positive,,,
很不錯家裡都喜歡。。。一次買了三台,positive,,,
送貨非常快！品質非常好，這次購物非常愉快！！,positive,,,
58好大都不錯。看品質咯,positive,,,
物流很快，物有所值，值得信賴。依舊會關顧！謝謝商家！,positive,,,
這價錢超值，收到貨馬上裝上看了一下。很清晰式樣也蠻好！贊贊,positive,,,
目前感受還不錯,positive,,,
速度快、服務態度很好,positive,,,
挺好的，物流也快，兩天就到了,positive,,,
發貨速度快,positive,,,
送貨很快，安裝服務也很好,positive,,,
品質很好，物流服務到位,positive,,,
看4k這款確實比普通屏好很多，感覺比較明顯，價格的話雙12搞活動比較給力，就是百視通的資源與騰訊視頻比還是有點差距，客戶自己裝一個！,positive,,,
便宜，能用，這個價格可以。,positive,,,
給我媽買的，媽媽很開心說很好，說快遞小哥態度很好。給好評。,positive,,,
性價比極高的一款電視機，值得 擁有,positive,,,
電視不錯 曬單： 收起 向左轉 向右轉,positive,,,
還不錯啊，高端大氣上檔次，外觀喜歡。,positive,,,
還不錯,positive,,,
這台電視是給遠在家鄉的父母買的。父母年紀大了，這種簡單的作業系統比較適合他們。搞活動半夜下的單子，第二天就送到了，安裝簡單，系統運行速度也很快。各種類別節目都很齊全，清晰度很好。父母反應很滿意！,positive,,,
蠻好的。物美價廉。我同事看我買了也買了兩台。還包上門安裝。,positive,,,
挺好的，就是感覺買小了，應該買43寸的,positive,,,
不錯，很好,positive,,,
相信日本品牌，品質放心。,positive,,,
好，一次不錯的選擇，非常清楚，非常好。,positive,,,
給奶奶買的，奶奶很喜歡。送貨的服務也不錯哦。,positive,,,
挺不錯的 畫面清晰 外觀既好看又時尚,positive,,,
給老爸臥室買的，品質很不錯，第一次買夏普，網路直接連接，送了一年的愛奇藝，不錯,positive,,,
給姑姑買的臥室電視，不錯哦。上門安裝加掛架多付80而已。姑姑很滿意,positive,,,
服務很好，,positive,,,
價格便宜，性價比挺好，剛剛開始用,positive,,,
電視收到了，很好，品質好，色彩也好，安裝師傅也有耐心！棒棒！,positive,,,
電視不錯，螢幕夠大。,positive,,,
電視到貨很久了，今天才安裝好，很激動，效果很好，京東物流也很給力，必須給五分?,positive,,,
還不錯,positive,,,
寶貝收到了，發貨速度很快，價格實惠，包裝完整，非常滿意！,positive,,,
京東家電正品低價服務到家,positive,,,
京東值得信賴,positive,,,
58寸！你想像不的視覺體驗！操作介面簡單，遙控的語音辨識很是不錯，影片庫也很全，從最新的到最熱的，從此愛上看電視！,positive,,,
為電視的問題考慮了半天，從LG換到三星，最終選擇了索尼。沒有usb3.0和hdmi2.0的電視，以後必然難以支援4K60幀的視頻，這個價位選索尼沒毛病,positive,,,
團購比平時便宜2O0元，抵,positive,,,
快遞物流好，自行安裝底座很方便，由於不是高清機上盒緣故，接有線電視圖像一般，其他圖像非常好。投屏功能很好用，操作介面整潔，把新電視螢幕的保護膜撕掉，畫面十分鮮豔，連接wifi後，測試了一下，很滿意，非常愉快的一次網購體驗！ 曬單： 收起 向左轉 向右轉,positive,,,
"電視相當不錯，12月18號下的單，19號下午收到的，足以證明火爆程度。總結了以下幾點:一、65H7全金屬機身、（後面塑膠）視覺無邊框，我比較喜歡，無邊界方顯大視野； 25核處理器，2G DDR4+8G FLASH，配置好電視才能運行快；雖說記憶體不是很大，剩餘記憶體不到4個g，應該也夠用 。二、電視外表整體做工還行， 擁有HDR技術，廣色域技術，4K MEMC，色彩好，擁有HDR技術，廣色域技術，4K MEMC，畫質清晰音質也還好 杜比解碼+DTS解碼，立體環繞音效，搭載酷開系統5.8。三、對比很多，其他電視只有螢幕和資源拿的出手，防抖什麼的就絕口不提，反而創維65H7能在這個價位加上MEMC,相當良心，所以還是選了創維。四、電視也今年5月份剛上市，雖說對電視沒有多大瞭解，都是網上查看，電視用的cpu也是去年新出（至於好壞我也不懂，看了很多，大家可以自己查看）五、對供應商客服很滿意，糾結了好幾天，有什麼問題都問到供應商客服，而且每次都是耐心及時給回答，對於這點體驗很好，相信售後也很給力的。安裝也相當給力，當天下午到貨，晚上就裝上了，還免安裝費。",positive,,,
此使用者未及時評價，系統預設好評。 2017-12-01 17:17:15 追加： 很清晰，音質很好,positive,,,
外觀很漂亮，畫質和聲音都非常不錯,positive,,,
安裝完成，開始用起來，感覺還不錯,positive,,,
電視很完美，看起來也很漂亮。邊框窄，整體觀看效果比普通的LED電視好很多。安裝師傅很給力，送貨師傅也很給力。五星好評。,positive,,,
非常不錯的電視機，價格也便宜，飛利浦，大品牌,positive,,,
很好，送貨很快，滿意,positive,,,
一如既往的好評拍來送人的。朋友很滿意。,positive,,,
還不錯哦，送貨很快，提前一天就送來了,positive,,,
不得不佩服京東的配送速度，太快了，現在基本都在京東買了，又便宜又好,positive,,,
物美價廉,positive,,,
超高性價比！性價比簡直是無敵！雖然造工比不上大品牌，但價格低啊，找不到比這便宜的了。不過想看的都要會員啊，曬單送我3年會員試試看好啦?！,positive,,,
雙十一的時候給自家買了台55x3鄰居看到後很喜歡，雙十二讓我幫他買了台43的，還不錯支持暴風,positive,,,
值得購買,positive,,,
性價比很高！,positive,,,
不錯,positive,,,
非常好，好評,positive,,,
寶貝很好喲，買之前一直擔心電視的品質問題，用了一段時間後才明白那是多餘的擔心，品質沒有任何問題，杠杠的，值得信賴。,positive,,,
老品牌，我信任，看著不錯啊。,positive,,,
很輕 感覺 挺單薄 不過價格也便宜 對得起 這個價格了,positive,,,
送貨快服務及時，態度很好，非常滿意！,positive,,,
12月4日零點搶的，12月5日中午前就送到，剛買完的第二天早上8點半就有客服打電話過來確認訂單的情況 及物流的時間選擇發送，雖然時間太早，但還是感覺很貼心。第二，收到貨後，馬上打創維的客服熱線，下午4點左右不到就家來安裝完畢。整個購物體驗非常棒。安裝的師付也說這電視不錯。就是後來加了一條創維的原廠線158元的高清線。以前機上盒不是高清線。所以，我還是給了5分。,positive,,,
飛利浦的電器不用說 ，品質杠杠的,positive,,,
東西不錯，值得擁有。。。。。q,positive,,,
送給姐姐喬遷新居的禮物，今天到貨並安裝好了。京東服務非常細心，電視也完好正常，姐姐很滿意!,positive,,,
畫面清楚、品質保證,positive,,,
畫面清晰 師傅安裝很好很快 滿意,positive,,,
雙11 949元買的，價格實惠，能用就行。,positive,,,
顯示效果很棒，音質一般般！放在店裡用，螢幕大，性價比還可以吧，雖然別其他品牌的貴一點，但資源多！整體做工一般，塑膠感挺強的，家裡用的話不建議這款！介面比較豐富。整體中規中矩！曬圖的視頻是超清畫質，開啟杜比音效的效果，供大家參考！ 曬單： 收起 向左轉 向右轉,positive,,,
挺好的,positive,,,
